s,type,g
http://dbpedia.org/resource/AMF_Bowling_Pinbusters!,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Matt_Holmes_(soccer)__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Small_Revelations,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Joice_Sorongan,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Microschismus_fortis,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Seiser_Alm,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Cheats_(film),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Letters_(song),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Antonín_Buček__7,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Julie_Wagner,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ngaruroro_River,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/The_Baby_Show,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Gustaf_Lyman,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q33357,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Eran_Riklis__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Janek_Kiisman,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Charles_Gowan,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Phillip's_Field,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Sam_Turner_(footballer,_born_1980)__3",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Holm_Pinder__6,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/The_Ultimate_Merger,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Grand_Duke_George_Mikhailovich_of_Russia_(1863–1919),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Bessarakpenbe,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Erik_Ustruck__5,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Siennica_Królewska_Mała,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/1951–52_Colchester_United_F.C._season__Ron_Hunt__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-gooseflesh_NN_1,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Sabit_Brokaj__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Schwasdorf,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Mwayi_Kumwenda,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-accredit_VB_3,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Saichiro_Misumi__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/John_Thomson_(footballer,_born_1909)__3",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Cumpurdinus,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Linda_Runbeck__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Leandro_Chaves__4,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Zinc_phosphate,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Chris_Isaak_discography,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/John_Raphael_Smith__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Countess_of_Tripoli,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Malibu_(film),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Michael_Nelson_(footballer)__10,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Jarah_Al_Ateeqi__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Andriy_Fartushnyak__3,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Baseball_at_the_1955_Pan_American_Games,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Gary_Kelly_(footballer,_born_1974)__6",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Cryptomycetaceae,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Addhuri__Addhuri__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-reading_room_NN_1,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Park_Ji-yeon,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Annie_Lennox,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-marburg_hemorrhagic_fever_NN_1,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/The_Complete_Druid's_Handbook,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q18262917,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Ryan_Walter,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Luigi_Tripepi,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Yunus_Altun__15,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Rasenia,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Biological_reserve_(Brazil),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q32933,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Roberto_Sorrentino__8,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#Bjoern_Hellberg,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/SUMO#
http://dbpedia.org/resource/Polow_da_Don,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Georgi_Slavkov__4,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Peter_J._Countryman__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Kirby_Anders,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Leandro_Vitiello__8,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Kirchdorf_an_der_Iller,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Suleyman_Gusalov,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/2006–07_C.D._Motagua_season__Kevin_Osorio__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q22235198,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Alpha-bisabolene_synthase,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Serdar_Topraktepe__3,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Susquehanna_Transfer_(NYS&W_station),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Younghill_Kang,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/ImmersiVision,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Niranrit_Jarernsuk__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/1994–95_Notts_County_F.C._season__Paul_Cox__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Uns_ist_ein_Kind_geboren,_BWV_142",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q22281657,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/1995_JEF_United_Ichihara_season__Hideo_Suzuki__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Cadac_Electronics,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Laura_Mancini,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Joachim_Herrmann_(CSU)__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Amman_Center_for_Human_Rights_Studies__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Szczawno,_Kuyavian-Pomeranian_Voivodeship",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Richard_M._Edwards,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Eric_Bicfalvi__10,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Valérie_Grand'Maison,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Earth_Day,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Francisco_Castro_Gamboa,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ahn_Ho-young,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Alban_Dragusha__7,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q17914739,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
#WN30WordSense-vamp_VB_2,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Kumasi_Academy,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/GluonJ,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Sunil_Batta__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Louisville_Male_High_School,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Colin_Jones_(boxer),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Elroy_Kromheer__4,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Robert_Paris__10,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30Word-california_dandelion,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Gyobuk-dong,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Athletics_at_the_1932_Summer_Olympics_–_Men's_triple_jump,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q1856281,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://www.wikidata.org/entity/Q35019,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Itsuki_Urata__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Tłuszcz_railway_station,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Annalee_Jefferies,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Baščeluci,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Nail_You_Down,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Who_I_Am_Hates_Who_I've_Been,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Microform,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Arnold,_Texas",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Terrorbird,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Bogádmindszent,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Citron-bellied_attila,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Richard_Bustillo,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Five_Chimneys,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Tengoku_e_Yōkoso,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Christophe_Bertrand,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Bronze_parotia,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Meckel_syndrome,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Sir_Thomas_Adams,_6th_Baronet",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Press_On,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Rionegro_Águilas__Esteban_Castañeda__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Union_Bordeaux_Bègles,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Pernilla_August,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Zvala,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30-202591455,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://www.wikidata.org/entity/Q5689403,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/FC_Barcelona_Juvenil_A__Jang_Gyeol-hee__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30-300933154,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Radkovice_(Plzeň-South_District),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Menticirrhus_americanus,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q29539,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Andriy_Kruhlyak,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Tymienica_Nowa,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Hollywood_Town_Hall,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Lance_Barnard,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/February_2001_El_Salvador_earthquake,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Serenity:_Leaves_on_the_Wind,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Al-Manara,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Project_Firestart,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Lionel_Cappone__5,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Moisés_Hurtado__4,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Drama_Desk_Award_for_Outstanding_Lyrics,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-shadowing_NN_1,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Patrick_Cregg,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Kings_Island_&_Miami_Valley_Railroad,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Channel_Crossing,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/F♯_A♯_∞,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Elicitin,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Stephen_Gyllenhaal,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Tomislav_Puljić__9,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Jurģis_Pučinskis__3,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Dorados_de_Sinaloa_B__Johan_Mendívil__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Miguel_Company__8,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Phyllonorycter_didymopa,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Żmijewo,_Pomeranian_Voivodeship",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Perica_Stančeski__12,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Frank_Robinson_(basketball)__9,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Namegawa_Island_Station,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q18028577,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Boned!,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/British_American_Tobacco_Ghana,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/The_Daily_Southerner,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ambrosia_tomentosa,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30-111012676,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Robert_Hafner,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-uprise_VB_4,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Myrcianthes_oreophila,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Heiko_Westermann__5,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Gionata_Mingozzi__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Penong,_South_Australia",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Tula_Oblast,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Broadcasting_Authority_of_Ireland,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Tabaluga_(TV_series),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30Word-mercurous_chloride,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Kyiv_National_Linguistic_University,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Baby_Jane_(Dr._Feelgood_song),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ulmus_minor_'Suberosa',http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Shepparton_Swans_Football_Club,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/2015–16_En_Avant_de_Guingamp_season__Mamadou_Samassa__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/1999–2000_Bury_F.C._season__Baichung_Bhutia__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Cấm_Sơn,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Women_in_Argentina,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Milasín,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Salma_Negmeldin,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Michel_Boerebach__3,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Chah-e_Ali_Kapari,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30Word-whole_wheat_flour,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Cyclin-dependent_kinase_inhibitor_protein,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Quim_(footballer,_born_1959)__12",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Vanderbilt,_Michigan",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Georgs_Andrejevs,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Christian_Lerche__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q16910803,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Djalma_Santos__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Tony_Hart,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Viola_kauaensis,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Peteliacma,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Gerald_Hylkema__6,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Servette_FC__Cyril_Dumont__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/1942_William_&_Mary_Indians_football_team,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/property/currentCommand,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://dbpedia.org
http://dbpedia.org/resource/Nursel_Köse,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/1931–32_West_Ham_United_F.C._season__Vivian_Gibbins__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Camp_Misty_Mount_Historic_District,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Phycourobilin,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/2015–16_Crawley_Town_F.C._season,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30-112265600,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Keith_McDonald_(baseball),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Andhra_Pradesh_Board_of_Intermediate_Education,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Intracerebral_hemorrhage,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/2002_Deildabikar,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Go_to_Hell!!,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Luxury_Problem,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Eu_Sou_Todos_Nós,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Habibpur,_Malda_(community_development_block)",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Nicktoons_Racing,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30Word-glooming,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Koichiro_Harada,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Mike_Fibbens,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Stuart_Slater__9,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Mick_Gould_(Gaelic_footballer),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Nuages__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Pankaj_Gupta_(entrepreneur)__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Nantclwyd_y_Dre,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Thomas_Wyttenbach,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/The_Matrix_(production_team),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/EPM_Intelligent_Building,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/1988–89_Mersin_İdmanyurdu_season__Muzaffer__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Giovanni_De_Carolis,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Stöð_2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Jhargram_(Vidhan_Sabha_constituency),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/CHiPs,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30-301745296,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://www.wikidata.org/entity/Q14911518,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
#Karl-Heinz_Rummenigge,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/SUMO#
http://dbpedia.org/resource/Aras_Özbiliz__8,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Slepče,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Jayakant_Mishra,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
