s,type,g
http://dbpedia.org/resource/AIDAprima,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Hollywood_United_Hitmen__Emmanuel_Rodriguez__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Lakshman_Rajapaksa,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#Jean_Gebser,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/SUMO#
http://dbpedia.org/resource/The_Meads_of_Asphodel,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Chiricanu_River,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Kurtis_Guthrie__8,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Tectona_philippinensis,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Dimo_Atanasov__12,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Melah_Tulat,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Kentron_District,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ante_Razov__7,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Pascal_Renier,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Fernando_Ferrer_(athlete),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Nenad_Kočović__5,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Les_Siens,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Shane_Orio__6,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-barefaced_JJ_1,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://www.wikidata.org/entity/Q1136598,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
"http://dbpedia.org/resource/Orehovlje,_Kranj",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q641163,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Roland_Andersson__11,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Błękitni_Stargard__Sebastian_Inczewski__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/North_Central_Texas_College,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/A_Thief_in_the_Night_(short_story_collection),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-dictamnus_NN_1,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://www.wikidata.org/entity/Q18051473,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Lemena,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Mazraeh-ye_Hajjiabad,_Kazerun",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-arrow-grass_family_NN_1,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Damien_Marcq__4,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Mundlapati_Ramanadha_Rao,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30-102842219,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Sergiyev_Posad,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Chris_Wilcox__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Oleksandr_Lavrynovych__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/List_of_international_prime_ministerial_trips_made_by_Narendra_Modi,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ténès,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30-104687119,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/2013–14_Sydney_FC_season__Corey_Gameiro__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Canterbury_School_(St._Petersburg,_Florida)",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30Word-mournfully,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Kumo_(musician),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q3136373,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Hollies_Sing_Dylan,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Bryan_Sievers__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Closure_of_Catharsis,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Dejan_Rađenović__16,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/César_Pellegrín__9,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/2012–13_FC_Krasnodar_season__Yevgeni_Nesterenko__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Mayu_Tsuruta,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Alberto_Quintero_Medina__3,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-behold_VB_1,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Raymond_Victoria__4,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Jimi_District,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Marco_Antonio_Torres_Hernández__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Lillestrøm_SK__Håkon_Skogseid__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30-400483042,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Emlembe,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30Word-idiosyncrasy,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Starrett-Lehigh_Building,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/2005–06_Manchester_City_F.C._season__Kiki_Musampa__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Grias_haughtii,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Jeremiah_Russell,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Hans_van_de_Haar,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Lázaro_Venturine_DeOliveira__6,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/If_I_Could_Teach_the_World,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Jeff_Rowland_(soccer)__6,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/King_William_Training_School,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Yao_Wenlong,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/The_Real_Housewives_of_Orange_County_(season_1),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Itzhak_Shum__9,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Hélder_Guedes__5,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Marcus_Thornton_(basketball,_born_1987)__5",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q22290001,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/James_Gist__3,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Thomas_Strunz__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30-100721282,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Oldham_Athletic_A.F.C.__Connor_Ripley__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Robert_Cooper_Grier,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30Word-achille_ratti,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Tommy_Lang__4,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Matera_Calcio__Diego_Albadoro__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Untersberg-Arena,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Montesierra_(Seville_Metro),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
